ticker,horizon,stage,step,fold,alpha,l1_ratio,feature,coef
ORCL,21,fold,0,0,0.100274,0.5,rv_5d,0.0
ORCL,21,fold,0,0,0.100274,0.5,rv_10d,0.0
ORCL,21,fold,0,0,0.100274,0.5,rv_21d,0.0
ORCL,21,fold,0,0,0.100274,0.5,rv_63d,0.0
ORCL,21,fold,0,0,0.100274,0.5,rv_126d,0.0
ORCL,21,fold,0,0,0.100274,0.5,ewma_vol,0.007704
ORCL,21,fold,0,0,0.100274,0.5,garch_cond_vol,0.0
ORCL,21,fold,0,0,0.100274,0.5,ret_TARGET,-0.0
ORCL,21,fold,0,0,0.100274,0.5,tech_RSI,-0.0
ORCL,21,fold,0,0,0.100274,0.5,tech_MACD_hist,-0.0
ORCL,21,fold,0,0,0.100274,0.5,ret_VIXY,0.0
ORCL,21,fold,0,0,0.100274,0.5,mom21_VIXY,0.020493
ORCL,21,fold,0,0,0.100274,0.5,ret_HYG,-0.0
ORCL,21,fold,0,0,0.100274,0.5,mom21_HYG,0.0
ORCL,21,fold,0,0,0.100274,0.5,ret_USO,0.0
ORCL,21,fold,0,0,0.100274,0.5,mom21_USO,0.0
ORCL,21,fold,0,0,0.100274,0.5,ret_TLT,0.0
ORCL,21,fold,0,0,0.100274,0.5,mom21_TLT,0.0
ORCL,21,fold,0,0,0.100274,0.5,ret_UUP,-0.0
ORCL,21,fold,0,0,0.100274,0.5,mom21_UUP,0.0
ORCL,21,fold,0,0,0.100274,0.5,ret_SPY,-0.0
ORCL,21,fold,0,0,0.100274,0.5,mom21_SPY,0.0
ORCL,21,fold,0,0,0.100274,0.5,vol_vel,0.0
ORCL,21,fold,0,0,0.100274,0.5,vol_of_vol,-0.0
ORCL,21,fold,0,0,0.100274,0.5,vol_regime_zscore,0.0
ORCL,21,fold,0,0,0.100274,0.5,vol_chg_21d,0.0
ORCL,21,fold,0,0,0.100274,0.5,event_fed_gravity,0.040297
ORCL,21,fold,0,0,0.100274,0.5,event_earn_gravity,0.0
ORCL,21,fold,0,0,0.100274,0.5,event_div_gravity,0.0
ORCL,21,fold,0,0,0.100274,0.5,event_cpi_gravity,0.041269
ORCL,21,fold,0,0,0.100274,0.5,event_nfp_gravity,0.042007
